Warehouse,Loadingtype,Selected Dimension ,Period_Year,Week,Transfer_Quantity
FR79,Load,Mixed,2026,W07,"6,623"
FR79,Load,Loose,2026,W07,"82,776"
FR79,Load,Pallet,2026,W06,"7,950"
FR79,Load,Mixed,2026,W06,"8,785"
FR79,Load,Loose,2026,W06,"99,764"
FR79,Load,Pallet,2026,W05,"9,786"
FR79,Load,Mixed,2026,W05,"6,436"
FR79,Load,Loose,2026,W05,"79,532"
FR79,Load,Pallet,2026,W04,"6,957"
FR79,Load,Mixed,2026,W04,"17,207"
FR79,Load,Loose,2026,W04,"105,873"
FR79,Load,Pallet,2026,W03,"35,928"
FR79,Load,Mixed,2026,W03,"5,998"
FR79,Load,Loose,2026,W03,"76,453"
FR79,Unload,Pallet,2026,W53,128
FR79,Unload,Mixed,2026,W53,1
FR79,Unload,Loose,2026,W53,"38,759"
FR79,Unload,Pallet,2026,W52,200
FR79,Unload,Mixed,2026,W52,9
FR79,Unload,Loose,2026,W52,"36,176"
FR79,Unload,Pallet,2026,W51,323
FR79,Unload,Mixed,2026,W51,2
FR79,Unload,Loose,2026,W51,"37,834"
FR79,Unload,Pallet,2026,W50,254
FR79,Unload,Loose,2026,W50,"39,315"
FR79,Unload,Pallet,2026,W49,204
FR79,Unload,Mixed,2026,W49,2
FR79,Unload,Loose,2026,W49,"42,736"
FR79,Unload,Pallet,2026,W48,168
FR79,Unload,Mixed,2026,W48,21
FR79,Unload,Loose,2026,W48,"40,592"
FR79,Unload,Pallet,2026,W47,209
FR79,Unload,Mixed,2026,W47,11
FR79,Unload,Loose,2026,W47,"48,630"
FR79,Unload,Pallet,2026,W46,246
FR79,Unload,Loose,2026,W46,"54,209"
FR79,Unload,Pallet,2026,W45,217
FR79,Unload,Mixed,2026,W45,2
FR79,Unload,Loose,2026,W45,"53,064"
FR79,Unload,Pallet,2026,W44,249
FR79,Unload,Mixed,2026,W44,4
FR79,Unload,Loose,2026,W44,"51,534"
FR79,Unload,Pallet,2026,W43,258
FR79,Unload,Mixed,2026,W43,12
FR79,Unload,Loose,2026,W43,"59,602"
FR79,Unload,Pallet,2026,W42,317
FR79,Unload,Loose,2026,W42,"55,239"
FR79,Unload,Pallet,2026,W41,332
FR79,Unload,Mixed,2026,W41,3
FR79,Unload,Loose,2026,W41,"54,110"
FR79,Unload,Pallet,2026,W40,305
FR79,Unload,Loose,2026,W40,"55,828"
FR79,Unload,Pallet,2026,W39,268
FR79,Unload,Mixed,2026,W39,8
FR79,Unload,Loose,2026,W39,"57,231"
FR79,Unload,Pallet,2026,W38,266
FR79,Unload,Loose,2026,W38,"57,880"
FR79,Unload,Pallet,2026,W37,254
FR79,Unload,Mixed,2026,W37,7
FR79,Unload,Loose,2026,W37,"56,833"
FR79,Unload,Pallet,2026,W36,249
FR79,Unload,Mixed,2026,W36,14
FR79,Unload,Loose,2026,W36,"55,359"
FR79,Unload,Pallet,2026,W35,217
FR79,Unload,Mixed,2026,W35,16
FR79,Unload,Loose,2026,W35,"57,287"
FR79,Unload,Pallet,2026,W34,256
FR79,Unload,Loose,2026,W34,"49,368"
FR79,Unload,Pallet,2026,W33,263
FR79,Unload,Mixed,2026,W33,11
FR79,Unload,Loose,2026,W33,"45,599"
FR79,Unload,Pallet,2026,W32,258
FR79,Unload,Mixed,2026,W32,20
FR79,Unload,Loose,2026,W32,"42,431"
FR79,Unload,Pallet,2026,W31,258
FR79,Unload,Mixed,2026,W31,15
FR79,Unload,Loose,2026,W31,"41,021"
FR79,Unload,Pallet,2026,W30,261
FR79,Unload,Loose,2026,W30,"41,054"
FR79,Unload,Pallet,2026,W29,198
FR79,Unload,Mixed,2026,W29,10
FR79,Unload,Loose,2026,W29,"37,256"
FR79,Unload,Pallet,2026,W28,247
FR79,Unload,Mixed,2026,W28,14
FR79,Unload,Loose,2026,W28,"48,147"
FR79,Unload,Pallet,2026,W27,219
FR79,Unload,Mixed,2026,W27,8
FR79,Unload,Loose,2026,W27,"41,043"
FR79,Unload,Pallet,2026,W26,249
FR79,Unload,Mixed,2026,W26,1
FR79,Unload,Loose,2026,W26,"41,955"
FR79,Unload,Pallet,2026,W25,219
FR79,Unload,Mixed,2026,W25,19
FR79,Unload,Loose,2026,W25,"46,253"
FR79,Unload,Pallet,2026,W24,231
FR79,Unload,Mixed,2026,W24,34
FR79,Unload,Loose,2026,W24,"46,392"
FR79,Unload,Pallet,2026,W23,254
FR79,Unload,Mixed,2026,W23,21
FR79,Unload,Loose,2026,W23,"48,424"
FR79,Unload,Pallet,2026,W22,170
FR79,Unload,Mixed,2026,W22,1
FR79,Unload,Loose,2026,W22,"41,745"
FR79,Unload,Pallet,2026,W21,255
FR79,Unload,Mixed,2026,W21,31
FR79,Unload,Loose,2026,W21,"56,131"
FR79,Unload,Pallet,2026,W20,177
FR79,Unload,Mixed,2026,W20,18
FR79,Unload,Loose,2026,W20,"46,027"
FR79,Unload,Pallet,2026,W19,111
FR79,Unload,Mixed,2026,W19,13
